Batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
0,19577.074,18972.254,21636.473,25085.371,17233.625,16562.04,16953.244,25580.672
100,4393.449,3869.0127,4907.4766,5089.3213,4227.456,3895.4846,5203.784,5679.227
200,3775.7915,3342.433,3766.6887,3795.3662,3193.6785,3014.929,3285.6963,5670.2915
300,3193.4653,2855.5596,3518.257,3350.3381,3022.7224,2862.6367,10340.278,7913.436
400,3017.9553,2868.0623,3079.2112,3235.9043,2984.7324,2797.256,2898.0781,4154.8325
500,2629.7656,2624.7708,3339.034,3249.0745,2615.4817,2638.1655,2932.6497,2693.0867
600,2751.3186,2482.3425,2926.965,2851.3337,2597.397,2542.3162,2572.9453,2762.1135
700,2538.6228,2377.764,2814.3276,3095.3398,2438.5469,2426.8945,2399.5562,2432.8628
800,3605.3052,2241.751,2780.0137,3009.666,3130.1367,2377.9214,2476.2114,2709.7747
900,2679.008,2297.7783,2464.8281,2462.9426,4788.499,2485.3296,2421.7644,2963.076
1000,3212.3975,2219.745,2665.2764,2486.0417,2088.218,2745.6375,2329.6853,2468.6416
1100,3965.783,2257.581,10348.93,2716.1235,2225.7485,2263.4116,2619.8303,2386.155
1200,2557.0159,2224.0957,3332.5085,2176.2024,2086.0366,2821.2983,2512.8374,2055.1394
1300,2566.6885,2505.479,2912.2942,2439.959,2668.9683,2386.2498,2376.9385,2844.3796
1400,4251.8813,2659.0547,3528.9463,2964.2732,2541.0532,2565.9211,2829.178,2446.4841
1500,2974.4875,2815.7612,2924.3967,2067.4797,3674.2227,2774.1711,2343.0667,2960.37
1600,2915.2886,2344.0085,2849.28,2534.103,3890.4426,3291.2036,2685.6462,3916.5981
1700,2847.2224,2127.6292,5314.9077,2186.36,3038.4102,3183.7104,2816.2341,2621.3062
1800,2747.2336,2285.2856,2729.2192,2487.4993,2781.7307,2755.068,2685.075,2596.7097
1900,3222.7537,2440.0405,2387.6428,2464.5767,3036.2058,2939.7551,2961.8699,3006.2236
2000,3432.0793,2423.349,2498.7942,2584.4092,2965.9104,2836.1614,2218.4543,2221.7234
2100,3438.3696,2001.7654,2103.243,3023.273,3039.9404,2557.588,2440.2812,2958.6501
2200,2597.4988,2516.3877,2807.2107,3113.2212,2539.7766,2650.921,2384.3306,2922.8452
2300,2537.698,2572.4902,2737.5596,2898.6365,3100.7732,2493.7212,2449.7588,2993.9067
2400,3433.651,2633.9949,2596.0078,2330.572,2583.7275,2229.8435,2207.2212,2361.8757
2500,3063.8708,2835.7244,1969.3733,2286.7202,2515.2437,2056.117,2092.182,3337.9224
2600,3235.2314,2638.4058,4091.7915,2449.3496,3334.1619,2431.2148,2069.936,3580.122
2700,4040.3271,2670.1418,3125.7693,2753.1929,3107.351,2691.088,2656.51,4305.2104
2800,3402.29,2347.0361,5570.7563,2362.6565,2062.7974,2586.205,2425.246,3611.7544
2900,5388.1436,2740.156,4000.6243,3194.3093,2790.644,2407.4814,2207.875,4251.675
3000,5389.069,2568.819,11589.234,3652.8022,2783.0522,2784.2122,2332.1597,3563.234
3100,4227.2505,3012.1987,3253.4585,3206.2273,2920.2622,3337.2603,2850.7178,2102.4336
3200,3962.9136,3157.8984,10045.327,4041.8535,3573.764,2864.3135,2191.7976,3055.3127
3300,5547.2334,2583.2322,17333.396,3213.1606,2899.022,2394.7178,2577.4446,2699.3286
3400,7155.4355,3601.2605,3040.4277,3099.2976,3455.6182,2837.3206,2653.4868,3373.731
3500,5882.735,3813.067,16560.428,2756.5728,4385.529,2440.9458,3067.0747,2999.78
3600,4887.3696,2530.43,9361.988,2919.6719,3249.3933,2523.8442,2807.6848,2630.6248
3700,6196.075,2383.6633,20497.451,2655.2168,4421.0923,2611.2112,3142.5916,2940.3228
3800,5810.9395,3164.8386,17406.648,3329.6848,5049.8696,3314.212,3773.5632,3204.5183
3900,5575.6357,2112.1807,11576.83,2928.0552,3045.5234,2490.426,2244.8733,2624.5354